url,box,nav,links,others
https://en.wikipedia.org/wiki/Comparison_of_Java_and_C++,10,16,2,6
https://en.wikipedia.org/wiki/Comparison_of_MD_and_DO_in_the_United_States,3,6,2,1
https://en.wikipedia.org/wiki/Comparison_of_Macintosh_models,21,28,20,7
https://en.wikipedia.org/wiki/Comparison_of_English_dictionaries,0,3,0,3
https://en.wikipedia.org/wiki/Comparison_of_mobile_Internet_Relay_Chat_clients,9,14,7,5
https://en.wikipedia.org/wiki/Comparison_of_WebSocket_implementations,4,5,0,1
https://en.wikipedia.org/wiki/Comparison_of_microblogging_services,2,5,2,3
https://en.wikipedia.org/wiki/Comparison_of_Nikon_DSLR_cameras,1,3,0,2
https://en.wikipedia.org/wiki/Comparison_of_UPnP_AV_media_servers,0,1,0,1
https://en.wikipedia.org/wiki/Comparison_of_Office_Open_XML_software,2,5,1,3
https://en.wikipedia.org/wiki/Comparison_of_BitTorrent_clients,1,12,1,10
https://en.wikipedia.org/wiki/Comparison_of_free_and_open-source_software_licenses,0,3,0,3
https://en.wikipedia.org/wiki/Comparison_of_OpenGL_and_Direct3D,5,6,0,1
https://en.wikipedia.org/wiki/Comparison_of_IOC_FIFA_and_ISO_3166_country_codes,1,5,0,2
https://en.wikipedia.org/wiki/Comparison_of_instruction_set_architectures,6,7,6,1
https://en.wikipedia.org/wiki/Comparison_of_antivirus_software,0,10,0,10
https://en.wikipedia.org/wiki/Comparison_of_European_traffic_laws,0,1,0,1
https://en.wikipedia.org/wiki/Comparison_of_layout_engines_(Scalable_Vector_Graphics),2,6,0,4
https://en.wikipedia.org/wiki/Comparison_of_Hokkien_writing_systems,1,6,1,4
https://en.wikipedia.org/wiki/Comparison_of_reference_management_software,1,10,1,9
https://en.wikipedia.org/wiki/Comparison_of_H.264_and_VC-1,1,4,1,3
https://en.wikipedia.org/wiki/Comparison_of_photo_gallery_software,0,2,0,2
https://en.wikipedia.org/wiki/Comparison_of_raster_graphics_editors,3,12,3,7
https://en.wikipedia.org/wiki/Comparison_between_Ido_and_Novial,7,10,5,2
https://en.wikipedia.org/wiki/Comparison_of_brainwave_entrainment_software,1,4,0,3
